dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,clas_ccdgo,setr_ccdgo,setr_ccnct,secr_ccdgo,secr_ccnct,zu_ccdgo,zu_cdivi,zu_cnmbre,zu_ccnct,zu_narea,zu_naltd,zu_nano,shape_Leng,shape_Area,AUrban,CZ_mean
"76","318","76318","1","000","763181000","00","76318100000","000","76318000",GUACARÍ,"76318100000000",2555907.62531000003,966.00000000000,2024,0.07928590049,0.00020775812,2556516.4330000002,972.481968528346
"41","396","41396","1","000","413961000","00","41396100000","000","41396000",LA PLATA,"41396100000000",3816384.52229999984,1003.00000000000,2024,0.19141556663,0.00030999663,3816202.4430000000,1023.76856646147
"05","030","05030","1","000","050301000","00","05030100000","000","05030000",AMAGÁ,"05030100000000",1617512.28515999997,1380.00000000000,2024,0.09410409651,0.00013201608,1617211.3019999999,1392.44517815807
"23","686","23686","1","000","236861000","00","23686100000","000","23686000",SAN PELAYO,"23686100000000",3772742.03617999982,11.00000000000,2024,0.11186677534,0.00030989845,3772293.3029999998,9.96539232181489
"17","001","17001","1","000","170011000","00","17001100000","000","17001000",MANIZALES,"17001100000000",37397414.71199999750,2125.00000000000,2024,0.93224556346,0.00304790315,37385449.9299999997,2088.48703597681
"54","498","54498","1","000","544981000","00","54498100000","000","54498000",OCAÑA,"54498100000000",11091083.23819999956,1183.00000000000,2024,0.44429840991,0.00091007519,11072039.8399999999,1192.54825727505
"17","873","17873","1","000","178731000","00","17873100000","000","17873000",VILLAMARÍA,"17873100000000",5009284.64936000016,1922.00000000000,2024,0.20246170527,0.00040824308,5007720.0549999997,1928.29141793536
"88","564","88564","1","000","885641000","00","88564100000","000","88564000",SANTA ISABEL,"88564100000000",2409425.82365000015,20.00000000000,2024,0.14632409264,0.00019797115,2417442.1009999998,15.5305645713726
"88","001","88001","1","000","880011000","00","88001100000","000","88001000",SAN ANDRÉS,"88001100000000",6597814.75666000042,9.00000000000,2024,0.24011399978,0.00053956916,6621416.2709999997,8.63770288474781
"54","405","54405","1","000","544051000","00","54405100000","000","54405000",LOS PATIOS,"54405100000000",10551392.48299999908,397.00000000000,2024,0.30811815562,0.00086442017,10527460.1300000008,407.845165947101
"76","130","76130","1","000","761301000","00","76130100000","000","76130000",CANDELARIA,"76130100000000",1363247.96120000002,980.00000000000,2024,0.05447254226,0.00011076803,1363588.6820000000,977.640497970581
"52","786","52786","1","000","527861000","00","52786100000","000","52786000",TAMINANGO,"52786100000000",368022.84218699997,1465.00000000000,2024,0.03455512193,0.00002981549,368344.7044000000,1540.19372558594
"18","753","18753","1","000","187531000","00","18753100000","000","18753000",SAN VICENTE DEL CAGUÁN,"18753100000000",4882977.26516999956,280.00000000000,2024,0.26766552197,0.00039690377,4879124.6780000003,271.969012195117
"23","162","23162","1","000","231621000","00","23162100000","000","23162000",CERETÉ,"23162100000000",19547826.18809999898,16.00000000000,2024,0.30510307735,0.00160545240,19545013.3200000003,12.2603909204903
"76","248","76248","1","000","762481000","00","76248100000","000","76248000",EL CERRITO,"76248100000000",3637066.53254000004,996.00000000000,2024,0.12030204297,0.00029562286,3637888.5780000002,990.381757422792
"85","125","85125","1","000","851251000","00","85125100000","000","85125000",HATO COROZAL,"85125100000000",2904894.00341999996,253.00000000000,2024,0.09780297720,0.00023694279,2896886.8829999999,254.271246302198
"15","516","15516","1","000","155161000","00","15516100000","000","15516000",PAIPA,"15516100000000",4665266.98797999974,2513.00000000000,2024,0.16227763451,0.00038078894,4656523.1500000004,2526.14426706133
"54","001","54001","1","000","540011000","00","54001100000","000","54001000",SAN JOSÉ DE CÚCUTA,"54001100000000",74501550.49359999597,320.00000000000,2024,0.75611270033,0.00610457652,74332709.5699999928,317.10205177084
