MpCodigo,MpNombre,MpArea,MpNorma,MpCategor,MpAltitud,Restriccio,Depto,ATotal,AUrban,ARural,CZ_mean
"41013",Agrado,273.68701987300,,1,838,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,273687019.8000000119,1769696.5940000000,271917323.1999999881,963.148285973773
"00000",Area En Litigio Cauca - Huila,342.09908699000,,4,0,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,N/A,342099086.8000000119,0.0000000000,342099086.8000000119,2941.51708927582
"19760",Sotará,516.16559360700,Ordenanza No. 02 de 1936,1,2450,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,516165593.6000000238,280651.6500000000,515884941.8999999762,2679.88426732142
"19585",Puracé,506.45343333700,,1,2400,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,506453433.3000000715,319340.7544000000,506134092.4999999404,3223.00114320452
"95025",El Retorno,12405.90945180000,Ordenanza No. 01 de 1992,1,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guaviare,12405909451.0000000000,837642.1292000000,12405071808.0000000000,215.352612561599
"19807",Timbío,201.39793710500,,1,1798,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,201397937.0000000000,2351048.3530000001,199046888.5999999940,1699.97691851376
"41518",Paicol,278.26747840400,,1,866,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,278267478.3000000119,552479.9010000000,277714998.3000000119,1129.68116642677
"41396",La Plata,814.67129022700,,1,1018,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,814671290.2000000477,3816202.4430000000,810855087.7000000477,1886.57270737188
"19050",Argelia,776.45549120700,Ordenanza No. 2 de 1967,1,1750,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,776455491.2000000477,491459.3526000000,775964031.7999999523,2040.11845987408
"41306",Gigante,503.51972292400,,1,808,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,503519722.8000000119,2161024.4330000002,501358698.3000000715,1359.66217757084
"19001",Popayán,480.37351969200,,1,1738,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,480373519.6000000238,33054304.1900000013,447319215.3999999762,1955.64251354278
"19824",Totoró,404.58453634500,,1,2600,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,404584536.3000000119,876580.2853000000,403707956.0000000000,2758.78410744903
