,DEPARTAMENTO,nombre,latitud,longitud,altitud,ThermalLevelValue
95,Valle del Cauca,ZARAGOZA - AUT [26105250],4.68977778,-75.92519444,943,"Templado, 24°C>T>18°C, <=1800meter"
295,Antioquia,METROMEDELLIN - AUT [27015310],6.32975,-75.55211111,1440,"Templado, 24°C>T>18°C, <=1800meter"
4384,Caquetá,MACAGUAL - AUT [44035050],1.5,-75.66,280,"Cálido, T>=24°C, <=800meter"
299,Huila,DESIERTO LA TATACOA [21115010],3.23447222,-75.16819444,459,"Cálido, T>=24°C, <=800meter"
24,Huila,PURACE  - AUT [21015050],1.92591667,-76.42755556,1900,"Frío, 18°C>T>12°C, <=2800meter"
326,Cundinamarca,PARAMO GUACHENEQUE  - AUT [21206950],5.23605556,-73.52508333,2300,"Frío, 18°C>T>12°C, <=2800meter"
85,Bogotá,VILLA TERESA - AUT [21206920],4.35,-74.15,3624,"Muy Frío, 12°C>T>6°C, <=3700meter"
4,Amazonas,PUERTO NARINO - AUT [48015040],-3.78030556,-70.36263889,158,"Cálido, T>=24°C, <=800meter"
35,Huila,LA PLATA - AUT [21115170],2.75913889,-75.07455556,2101,"Frío, 18°C>T>12°C, <=2800meter"
28,Huila,MARENGO  - AUT [21015060],2.22111111,-76.11888889,1550,"Templado, 24°C>T>18°C, <=1800meter"
72,Cundinamarca,PAQUILO - AUT [21195170],3.99361111,-74.39805556,2957,"Muy Frío, 12°C>T>6°C, <=3700meter"
319,Huila,LOS GUACHAROS  - AUT [21015070],1.675833,-76.106841,1590,"Templado, 24°C>T>18°C, <=1800meter"
25,Huila,LA PRIMAVERA - AUT [21015040],2.02158333,-76.11433333,1919,"Frío, 18°C>T>12°C, <=2800meter"
232,Cesar,FEDEARROZ - AUT [28035060],10.46361111,-73.24805556,184,"Cálido, T>=24°C, <=800meter"
174,Santander,NEOMUNDO,7.09999722,-73.11,970,"Templado, 24°C>T>18°C, <=1800meter"
227,Cesar,MANAURE - AUT [28015110],10.36533333,-72.99763889,1918,"Frío, 18°C>T>12°C, <=2800meter"
331,Norte de Santander,ALCALDIA DE HERRAN  - AUT [16015130],7.50672222,-72.48536111,240,"Cálido, T>=24°C, <=800meter"
183,Cesar,AGUACHICA - AUT [23195240],8.12341667,-73.57986111,103,"Cálido, T>=24°C, <=800meter"
171,Santander,EL TAGUAL - AUT [23117030],6.73305556,-74.15975,105,"Cálido, T>=24°C, <=800meter"
3438,Magdalena,ESMERALDA LA [29065110],10.63983333,-74.2625,30,"Cálido, T>=24°C, <=800meter"
84,Cundinamarca,PASCA - AUT [21195190],4.31011111,-74.31175,2256,"Frío, 18°C>T>12°C, <=2800meter"
165,Antioquia,VILLANUEVA VILLAHERMOSA [27015300],6.25327778,-75.55,1591,"Templado, 24°C>T>18°C, <=1800meter"
290,Antioquia,CHIGORODO - AUT [12015110],7.67113889,-76.69405556,44,"Cálido, T>=24°C, <=800meter"
37,Cauca,GORGONA GUAPI [57025020],2.96294444,-78.17436111,10,"Cálido, T>=24°C, <=800meter"
4161,Antioquia,PISTA INDIRA - AUT [12015100],7.94075,-76.69616667,15,"Cálido, T>=24°C, <=800meter"
27,Cauca,LA SIERRA - AUT [52025090],2.19383333,-76.75033333,1870,"Frío, 18°C>T>12°C, <=2800meter"
297,Chocó,UNGUIA - AUT [11135030],8.03672222,-77.08786111,14,"Cálido, T>=24°C, <=800meter"
2587,Valle del Cauca,AEROPUERTO A.BONILLA - AUT [26075150],3.53299167,-76.3825,961,"Templado, 24°C>T>18°C, <=1800meter"
26,Cauca,BALBOA - AUT [52015050],2.03277778,-77.22166667,1700,"Templado, 24°C>T>18°C, <=1800meter"
3623,Nariño,ISLA FARO VIUDO [51039020],1.85219444,-78.71369444,10,"Cálido, T>=24°C, <=800meter"
3831,Chocó,CARMEN DEL DARIEN -AUT [11105020],7.15433333,-76.97719444,18,"Cálido, T>=24°C, <=800meter"
31,Cauca,EL DIVISO - AUT [53075020],2.31141667,-77.25877778,1750,"Templado, 24°C>T>18°C, <=1800meter"
135,Cundinamarca,QUEBRADA NEGRA - AUT [23065190],5.13761111,-74.48125,1107,"Templado, 24°C>T>18°C, <=1800meter"
228,Sucre,SAN MARCOS - AUT [25025340],8.59683333,-75.14269444,31,"Cálido, T>=24°C, <=800meter"
313,RIsaralda,LA LAGUNA DEL OTUN  - AUT [26135330],4.77636111,-75.4125,3944,"Extremadamente Frio, 6°C>T>0°C, <=4700meter"
2887,Norte de Santander,UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT [16015110],7.89877778,-72.48716667,311,"Cálido, T>=24°C, <=800meter"
71,Tolima,NATAIMA - AUT [21185090],4.18813889,-74.96047222,393,"Cálido, T>=24°C, <=800meter"
78,Caldas,NEVADO SANTA ISABEL  - AUT [26135320],4.80261111,-75.38047222,4757,"Nival, T<0°C, >4700meter"
323,Tolima,NEVADO DEL TOLIMA  - AUT [21215150],4.67077778,-75.32777778,4635,"Extremadamente Frio, 6°C>T>0°C, <=4700meter"
