,nombre,latitud,longitud,altitud,ThermalLevelValue
1378,GUACHETA [24010170],5.38588889,-73.69105556,2690,"Frío, 18°C>T>12°C, <=2800meter"
3663,CUMBAL [52050110],0.908,-77.78711111,392,"Cálido, T>=24°C, <=800meter"
2821,SANTA HELENA [28040160],9.76666667,-73.96666667,90,"Cálido, T>=24°C, <=800meter"
3724,TUQUERRES [52050070],1.1,-77.6,3104,"Muy Frío, 12°C>T>6°C, <=3700meter"
3192,LUMAR HACIENDA [28040040],9.95,-73.38333333,80,"Cálido, T>=24°C, <=800meter"
2646,URIBIA [15075040],11.71666667,-72.26666667,18,"Cálido, T>=24°C, <=800meter"
258,AEROPUERTO SESQUICENTEN [17015010],12.54218333,-81.73096944,1,"Cálido, T>=24°C, <=800meter"
2447,SAJANDI [52010080],2.18711111,-77.04972222,750,"Cálido, T>=24°C, <=800meter"
2468,HIDROMAYO CAMP [52030060],1.66563889,-77.01497222,1820,"Frío, 18°C>T>12°C, <=2800meter"
1854,VILLA DE LEIVA [24010160],5.63333333,-73.53333333,2200,"Frío, 18°C>T>12°C, <=2800meter"
663,LORICA [13080020],9.25,-75.83333333,80,"Cálido, T>=24°C, <=800meter"
1975,RAQUIRA [24010180],5.53877778,-73.63136111,2290,"Frío, 18°C>T>12°C, <=2800meter"
1785,SIMIJACA [24010150],5.51130556,-73.86369444,2590,"Frío, 18°C>T>12°C, <=2800meter"
3378,CHITAGA [37010020],7.13944444,-72.66472222,2410,"Frío, 18°C>T>12°C, <=2800meter"
768,CERRITO [24030210],6.83611111,-72.69722222,2440,"Frío, 18°C>T>12°C, <=2800meter"
3500,CARACOLI 1 [28030010],10.06666667,-73.75,122,"Cálido, T>=24°C, <=800meter"
1494,CANAL PRINCIPAL [21257030],4.78333333,-74.88333333,470,"Cálido, T>=24°C, <=800meter"
946,CURITI 1 [24020070],6.6,-73.06666667,1505,"Templado, 24°C>T>18°C, <=1800meter"
880,SAN JOAQUIN [24030200],6.42641667,-72.87383333,20,"Cálido, T>=24°C, <=800meter"
975,MALAGA 1 [24030220],6.7,-72.73333333,2160,"Frío, 18°C>T>12°C, <=2800meter"
807,SUSACON [24030240],6.23175,-72.68933333,2550,"Frío, 18°C>T>12°C, <=2800meter"
2795,SARDINATA [16030120],8.1,-72.8,320,"Cálido, T>=24°C, <=800meter"
1625,MONGUI [24030190],5.72455556,-72.84786111,2970,"Muy Frío, 12°C>T>6°C, <=3700meter"
1843,IZA [24030230],5.6155,-72.97627778,2470,"Frío, 18°C>T>12°C, <=2800meter"
2669,REPOSO EL [28017050],10.52719444,-73.33636111,350,"Cálido, T>=24°C, <=800meter"
3088,MEDIA LUNA [29060050],10.51002778,-74.50666667,20,"Cálido, T>=24°C, <=800meter"
3083,FUNDACION [29060040],10.52436111,-74.18222222,40,"Cálido, T>=24°C, <=800meter"
871,COCUY EL [24030260],6.40822222,-72.44544444,2749,"Frío, 18°C>T>12°C, <=2800meter"
204,CUESTECITAS - AUT [15067050],11.18033333,-72.55344444,76,"Cálido, T>=24°C, <=800meter"
3452,TREBOL EL [29067010],10.63591667,-74.14633333,60,"Cálido, T>=24°C, <=800meter"
726,SUAITA [24010760],6.099,-73.44138889,1660,"Templado, 24°C>T>18°C, <=1800meter"
997,JESUS MARIA [24010210],5.87333333,-73.78166667,1920,"Frío, 18°C>T>12°C, <=2800meter"
616,GRAMALOTE [16020010],7.89194444,-72.79944444,120,"Cálido, T>=24°C, <=800meter"
3459,MANIZALES [29067140],10.63333333,-74.15,34,"Cálido, T>=24°C, <=800meter"
3081,FUNDACION [29067120],10.52325,-74.18280556,55,"Cálido, T>=24°C, <=800meter"
882,VALLE DE SAN JOSE [24020080],6.44111111,-73.14277778,1300,"Templado, 24°C>T>18°C, <=1800meter"
2749,SAN VICENTE [24050060],6.87277778,-73.41083333,721,"Cálido, T>=24°C, <=800meter"
3582,TONA  - AUT [23190130],7.19611111,-72.97055556,1910,"Frío, 18°C>T>12°C, <=2800meter"
420,ARBOLEDAS [16020050],7.64444444,-72.79972222,925,"Templado, 24°C>T>18°C, <=1800meter"
524,ESCUELA AGROPECUARI [23190150],7.76666667,-73.08333333,215,"Cálido, T>=24°C, <=800meter"
1146,PURIFICACION [21130010],3.84733333,-74.9365,305,"Cálido, T>=24°C, <=800meter"
3983,PST DE MONTA [21160020],3.78333333,-74.93333333,349,"Cálido, T>=24°C, <=800meter"
2957,PLAYON EL [23190140],7.46472222,-73.20138889,500,"Cálido, T>=24°C, <=800meter"
2417,EDEN EL [23010020],5.15838889,-75.04891667,1670,"Templado, 24°C>T>18°C, <=1800meter"
2398,PASTALES [21210030],4.51105556,-75.30083333,1602,"Templado, 24°C>T>18°C, <=1800meter"
3409,PUERTO WILCHES [23180020],7.34861111,-73.89305556,73,"Cálido, T>=24°C, <=800meter"
3416,MATANZA [23190120],7.36666667,-73.03333333,1570,"Templado, 24°C>T>18°C, <=1800meter"
3148,CACOTA [37010030],7.27,-72.64361111,2645,"Frío, 18°C>T>12°C, <=2800meter"
1782,YACOPI [23060090],5.5,-74.36666667,1416,"Templado, 24°C>T>18°C, <=1800meter"
