CODIGO,NOMBRE,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INSTALACION,FECHA_SUSPENSION,ALTITUD,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,AREA_OPERATIVA,ENTIDAD,AREA_HIDROGRAFICA,ZONA_HIDROGRAFICA,SUBZONA_HIDROGRAFICA,CORRIENTE,Catalogo,Version,station,n
17035010,SERRANILLA - AUT [17035010],Climatológica Ordinaria,Automática con Telemetría,Suspendida,15/12/1998,14/09/2022,3,15.7975,-79.852221944,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Islas Caribe,OTRAS ISLAS DEL CARIBE Y ZONA MARITIMA,,CNE_IDEAM,20251226,17035010,5
21015030,PARQUE ARQUEOLOGICO - AUT [21015030],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,15/06/1971,,1800,1.888472222,-76.29497222,Huila,San Agustín,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Alto Magdalena,,CNE_IDEAM,20251226,21015030,5
21015050,PURACE  - AUT [21015050],Climatológica Principal,Automática con Telemetría,En Mantenimiento,17/07/2005,,1900,1.925916667,-76.42755556,Huila,San Agustín,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Alto Magdalena,,CNE_IDEAM,20251226,21015050,15
21015060,MARENGO  - AUT [21015060],Agrometeorológica,Automática con Telemetría,Suspendida,23/07/2005,21/02/2024,1550,2.221111111,-76.11888889,Huila,Pitalito,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Río Páez,,CNE_IDEAM,20251226,21015060,18
21015070,LOS GUACHAROS  - AUT [21015070],Climatológica Principal,Automática con Telemetría,En Mantenimiento,25/07/2005,,1590,1.675833,-76.106841,Huila,Palestina,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Alto Magdalena,,CNE_IDEAM,20251226,21015070,20
21015502,SAN AGUSTIN  - AUT  [21015502],Climatológica Principal,Automática con Telemetría,Activa,17/07/2013,,1882,1.851416667,-76.30433056,Huila,San Agustín,Area Operativa 04 - Huila-Caquetá,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Magdalena Cauca,Alto Magdalena,Alto Magdalena,,CNE_OE,20251226,21015502,8
21017030,CASCADA SIMON BOLIVAR  - AUT [21017030],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/04/1971,,1272,1.8735,-76.23172222,Huila,Isnos,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Alto Magdalena,Magdalena,CNE_IDEAM,20251226,21017030,7
21017040,SALADO BLANCO [21017040],Limnigráfica,"Automática con Telemetría, Convencional",Activa,15/04/1971,,994,1.9880833,-76.012083333,Huila,Elías,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Río Timaná y otros directos al Magdalena,Magdalena,CNE_IDEAM,20251226,21017040,9
21017080,LA MAGDALENA  - AUT  [21017080],Limnigráfica,Automática con Telemetría,Activa,29/07/2009,,1666,1.905,-76.40111111,Huila,San Agustín,Area Operativa 04 - Huila-Caquetá,CENTRAL HIDROELECTRICA DE BETANIA CHB HOY EMGESA,Magdalena Cauca,Alto Magdalena,Alto Magdalena,Magdalena,CNE_OE,20251226,21017080,5
21035501,ACEVEDO  - AUT  [21035501],Climatológica Principal,Automática con Telemetría,Activa,19/07/2013,,1470,1.763191667,-75.93224722,Huila,Acevedo,Area Operativa 04 - Huila-Caquetá,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Magdalena Cauca,Alto Magdalena,Río Suaza,,CNE_OE,20251226,21035501,7
21037020,SAN MARCOS  - AUT [21037020],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/04/1971,,1291,1.752277778,-75.94541667,Huila,Acevedo,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Río Suaza,Suaza,CNE_IDEAM,20251226,21037020,6
21045501,OPORAPA  - AUT  [21045501],Climatológica Principal,Automática con Telemetría,Activa,20/07/2013,,1665,2.041941667,-76.01191667,Huila,Oporapa,Area Operativa 04 - Huila-Caquetá,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Magdalena Cauca,Alto Magdalena,Ríos Directos al Magdalena (mi),,CNE_OE,20251226,21045501,8
21050090,NATAGA  - AUT [21050090],Pluviométrica,Convencional,Activa,15/04/1971,,1545,2.551444444,-75.8065,Huila,Nátaga,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Río Páez,,CNE_IDEAM,20251226,21050090,5
21055070,INZA - AUT [21055070],Climatológica Principal,Automática con Telemetría,En Mantenimiento,11/11/2005,,1800,2.548194444,-76.06394444,Cauca,Inzá,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Río Páez,,CNE_IDEAM,20251226,21055070,19
21055501,SIMON CAMPOS  - AUT  [21055501],Climatológica Principal,Automática con Telemetría,Activa,22/07/2013,,1754,2.345830556,-75.87805556,Huila,La Plata,Area Operativa 04 - Huila-Caquetá,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Magdalena Cauca,Alto Magdalena,Río Páez,,CNE_OE,20251226,21055501,8
21057050,VEGA EL SALADO  - AUT [21057050],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/06/1971,,1150,2.331444444,-75.94216667,Huila,La Plata,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Río Páez,La Plata,CNE_IDEAM,20251226,21057050,9
21057060,PAICOL - AUT [21057060],Limnigráfica,"Automática con Telemetría, Convencional",Activa,15/07/1971,,788,2.46,-75.76,Huila,Tesalia,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Río Páez,Paez,CNE_IDEAM,20251226,21057060,8
21065501,JORGE VILLAMIL  - AUT  [21065501],Climatológica Principal,Automática con Telemetría,Activa,21/07/2013,,1420,2.325552778,-75.50972222,Huila,Gigante,Area Operativa 04 - Huila-Caquetá,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Magdalena Cauca,Alto Magdalena,Ríos directos Magdalena (md),,CNE_OE,20251226,21065501,6
21087080,HACIENDA VENECIA [21087080],Limnimétrica,Convencional,Activa,15/06/1983,,575,2.64,-75.54,Huila,Yaguará,Area Operativa 04 - Huila-Caquetá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Alto Magdalena,Río Yaguará y Río Iquira,Yaguara,CNE_IDEAM,20251226,21087080,10
