station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
12015100,edf_jenkinson,fisk,0.102477734868279,0.3942745923300002,Δo > Δ,1,10,1,8
12015100,edf_beard,fisk,0.102477734868279,0.3942745923300002,Δo > Δ,1,10,1,9
12015100,edf_chegodayev,fisk,0.1029409036840489,0.3942745923300002,Δo > Δ,1,10,1,10
12015100,edf_adamowski,fisk,0.1052302809734262,0.3942745923300002,Δo > Δ,1,10,1,11
12015100,edf_weibull,weibull_min,0.112063453376571,0.3942745923300002,Δo > Δ,1,10,1,12
12015110,edf_cunnane,loglaplace,0.0731276184705674,0.3942745923300002,Δo > Δ,1,10,1,1
12015110,edf_blom,loglaplace,0.0735654707295541,0.3942745923300002,Δo > Δ,1,10,1,2
12015110,edf_gringorten,loglaplace,0.0749269943270783,0.3942745923300002,Δo > Δ,1,10,1,3
12015110,edf_tukey,loglaplace,0.0763192079443456,0.3942745923300002,Δo > Δ,1,10,1,4
12015110,edf_filliben,loglaplace,0.077354018021684,0.3942745923300002,Δo > Δ,1,10,1,5
12015110,edf_jenkinson,loglaplace,0.0778419874831609,0.3942745923300002,Δo > Δ,1,10,1,6
12015110,edf_beard,loglaplace,0.0778419874831609,0.3942745923300002,Δo > Δ,1,10,1,7
12015110,edf_hazen,loglaplace,0.0778914212045487,0.3942745923300002,Δo > Δ,1,10,1,8
12015110,edf_chegodayev,loglaplace,0.0784904238252389,0.3942745923300002,Δo > Δ,1,10,1,9
12015110,edf_adamowski,loglaplace,0.0816955520303671,0.3942745923300002,Δo > Δ,1,10,1,10
12015110,edf_weibull,loggenlogistic,0.0841149676716846,0.3942745923300002,Δo > Δ,1,10,1,11
12015110,edf_california,logmielke,0.1115221269050695,0.3942745923300002,Δo > Δ,1,10,1,12
1206500136,edf_hazen,mielke,0.038867661202478,0.5865427407550001,Δo > Δ,1,5,1,1
1206500136,edf_gringorten,mielke,0.048242661202478,0.5865427407550001,Δo > Δ,1,5,1,2
1206500136,edf_jenkinson,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,3
1206500136,edf_adamowski,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,4
1206500136,edf_filliben,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,5
1206500136,edf_tukey,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,6
1206500136,edf_blom,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,7
1206500136,edf_cunnane,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,8
1206500136,edf_chegodayev,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,9
1206500136,edf_beard,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,10
1206500136,edf_weibull,logbetaprime,0.0496049128562355,0.5865427407550001,Δo > Δ,1,5,1,11
1206500136,edf_california,johnsonsu,0.1369273590986228,0.5865427407550001,Δo > Δ,1,5,1,12
13027040,edf_hazen,logbetaprime,0.1033916600691072,0.5865427407550001,Δo > Δ,1,5,1,1
13027040,edf_gringorten,logbetaprime,0.1080791600691072,0.5865427407550001,Δo > Δ,1,5,1,2
13027040,edf_cunnane,logbetaprime,0.1110839677614149,0.5865427407550001,Δo > Δ,1,5,1,3
13027040,edf_blom,logbetaprime,0.1129154695929167,0.5865427407550001,Δo > Δ,1,5,1,4
13027040,edf_tukey,logbetaprime,0.1158916600691072,0.5865427407550001,Δo > Δ,1,5,1,5
13027040,edf_filliben,logbetaprime,0.1169983702275415,0.5865427407550001,Δo > Δ,1,5,1,6
13027040,edf_beard,logbetaprime,0.1175180541211518,0.5865427407550001,Δo > Δ,1,5,1,7
13027040,edf_jenkinson,logbetaprime,0.1175180541211518,0.5865427407550001,Δo > Δ,1,5,1,8
13027040,edf_chegodayev,logbetaprime,0.1182064748839221,0.5865427407550001,Δo > Δ,1,5,1,9
13027040,edf_adamowski,logbetaprime,0.1215734782509254,0.5865427407550001,Δo > Δ,1,5,1,10
13027040,edf_weibull,loginvweibull,0.1249741605333081,0.5865427407550001,Δo > Δ,1,5,1,11
13027040,edf_california,laplace_asymmetric,0.1388896859526154,0.5865427407550001,Δo > Δ,1,5,1,12
1303500129,edf_hazen,logfisk,0.0972334737344263,0.5865427407550001,Δo > Δ,1,5,1,1
1303500129,edf_gringorten,logfisk,0.1011550315093431,0.5865427407550001,Δo > Δ,1,5,1,2
1303500129,edf_cunnane,logfisk,0.1041598392016508,0.5865427407550001,Δo > Δ,1,5,1,3
1303500129,edf_blom,logfisk,0.1059913410331526,0.5865427407550001,Δo > Δ,1,5,1,4
1303500129,edf_tukey,logfisk,0.1089675315093431,0.5865427407550001,Δo > Δ,1,5,1,5
1303500129,edf_filliben,logfisk,0.1100742416677774,0.5865427407550001,Δo > Δ,1,5,1,6
1303500129,edf_beard,logfisk,0.1105939255613877,0.5865427407550001,Δo > Δ,1,5,1,7
1303500129,edf_jenkinson,logfisk,0.1105939255613877,0.5865427407550001,Δo > Δ,1,5,1,8
1303500129,edf_chegodayev,logfisk,0.111282346324158,0.5865427407550001,Δo > Δ,1,5,1,9
1303500129,edf_adamowski,logfisk,0.1146493496911613,0.5865427407550001,Δo > Δ,1,5,1,10
1303500129,edf_weibull,ncf,0.119313548508839,0.5865427407550001,Δo > Δ,1,5,1,11
1303500129,edf_california,chi2,0.1422134920169763,0.5865427407550001,Δo > Δ,1,5,1,12
13035501,edf_california,t,0.0737777446019172,0.4472608134160001,Δo > Δ,1,8,1,1
13035501,edf_hazen,logt,0.0972021927339703,0.4472608134160001,Δo > Δ,1,8,1,2
13035501,edf_gringorten,logt,0.1018204193349555,0.4472608134160001,Δo > Δ,1,8,1,3
13035501,edf_blom,invgamma,0.1021089717750111,0.4472608134160001,Δo > Δ,1,8,1,4
13035501,edf_cunnane,invgamma,0.1023630863101059,0.4472608134160001,Δo > Δ,1,8,1,5
13035501,edf_tukey,invgamma,0.105139274805314,0.4472608134160001,Δo > Δ,1,8,1,6
13035501,edf_filliben,invgamma,0.1062749592045968,0.4472608134160001,Δo > Δ,1,8,1,7
13035501,edf_jenkinson,invgamma,0.1068099191967222,0.4472608134160001,Δo > Δ,1,8,1,8
13035501,edf_beard,invgamma,0.1068099191967222,0.4472608134160001,Δo > Δ,1,8,1,9
13035501,edf_chegodayev,invgamma,0.1075202271862665,0.4472608134160001,Δo > Δ,1,8,1,10
13035501,edf_adamowski,fatiguelife,0.1075283227411584,0.4472608134160001,Δo > Δ,1,8,1,11
13035501,edf_weibull,logpearson3,0.1090577091462033,0.4472608134160001,Δo > Δ,1,8,1,12
13055040,edf_hazen,fisk,0.0884983849541953,0.3761373588009999,Δo > Δ,1,11,1,1
13055040,edf_gringorten,fisk,0.0924225183747316,0.3761373588009999,Δo > Δ,1,11,1,2
